user_id,question_id,answer
u1,Q1,0
u1,Q2,0
u1,Q3,0
u1,Q4,-1
u1,Q5,-1
u1,Q6,1
u1,Q7,0
u1,Q8,1
u1,Q9,-1
u1,Q10,1
u2,Q1,0
u2,Q2,-1
u2,Q3,1
u2,Q4,1
u2,Q5,1
u2,Q6,-1
u2,Q7,-1
u2,Q8,-1
u2,Q9,0
u2,Q10,1
u3,Q1,-1
u3,Q2,-1
u3,Q3,0
u3,Q4,-1
u3,Q5,1
u3,Q6,-1
u3,Q7,1
u3,Q8,0
u3,Q9,-1
u3,Q10,-1
u4,Q1,0
u4,Q2,0
u4,Q3,1
u4,Q4,1
u4,Q5,0
u4,Q6,-1
u4,Q7,-1
u4,Q8,-1
u4,Q9,0
u4,Q10,1
u5,Q1,0
u5,Q2,1
u5,Q3,1
u5,Q4,-1
u5,Q5,0
u5,Q6,0
u5,Q7,1
u5,Q8,-1
u5,Q9,1
u5,Q10,-1
u6,Q1,1
u6,Q2,1
u6,Q3,0
u6,Q4,1
u6,Q5,0
u6,Q6,0
u6,Q7,0
u6,Q8,-1
u6,Q9,-1
u6,Q10,1
u7,Q1,0
u7,Q2,1
u7,Q3,0
u7,Q4,-1
u7,Q5,-1
u7,Q6,0
u7,Q7,1
u7,Q8,1
u7,Q9,0
u7,Q10,0
u8,Q1,0
u8,Q2,-1
u8,Q3,1
u8,Q4,0
u8,Q5,0
u8,Q6,0
u8,Q7,1
u8,Q8,1
u8,Q9,1
u8,Q10,-1
u9,Q1,0
u9,Q2,0
u9,Q3,1
u9,Q4,1
u9,Q5,1
u9,Q6,-1
u9,Q7,-1
u9,Q8,0
u9,Q9,-1
u9,Q10,0
u10,Q1,1
u10,Q2,1
u10,Q3,0
u10,Q4,0
u10,Q5,-1
u10,Q6,-1
u10,Q7,1
u10,Q8,1
u10,Q9,1
u10,Q10,1
u11,Q1,-1
u11,Q2,1
u11,Q3,1
u11,Q4,-1
u11,Q5,0
u11,Q6,0
u11,Q7,1
u11,Q8,1
u11,Q9,-1
u11,Q10,1
u12,Q1,-1
u12,Q2,1
u12,Q3,-1
u12,Q4,-1
u12,Q5,1
u12,Q6,-1
u12,Q7,-1
u12,Q8,1
u12,Q9,-1
u12,Q10,0
u13,Q1,1
u13,Q2,-1
u13,Q3,1
u13,Q4,0
u13,Q5,0
u13,Q6,0
u13,Q7,1
u13,Q8,-1
u13,Q9,-1
u13,Q10,0
u14,Q1,0
u14,Q2,1
u14,Q3,-1
u14,Q4,1
u14,Q5,1
u14,Q6,1
u14,Q7,-1
u14,Q8,1
u14,Q9,-1
u14,Q10,1
u15,Q1,0
u15,Q2,0
u15,Q3,0
u15,Q4,-1
u15,Q5,1
u15,Q6,0
u15,Q7,1
u15,Q8,1
u15,Q9,0
u15,Q10,-1
u16,Q1,0
u16,Q2,0
u16,Q3,0
u16,Q4,-1
u16,Q5,1
u16,Q6,1
u16,Q7,-1
u16,Q8,0
u16,Q9,1
u16,Q10,0
u17,Q1,1
u17,Q2,0
u17,Q3,1
u17,Q4,1
u17,Q5,0
u17,Q6,-1
u17,Q7,0
u17,Q8,0
u17,Q9,1
u17,Q10,0
u18,Q1,1
u18,Q2,-1
u18,Q3,0
u18,Q4,-1
u18,Q5,1
u18,Q6,0
u18,Q7,1
u18,Q8,-1
u18,Q9,1
u18,Q10,-1
u19,Q1,1
u19,Q2,-1
u19,Q3,1
u19,Q4,-1
u19,Q5,-1
u19,Q6,-1
u19,Q7,1
u19,Q8,1
u19,Q9,1
u19,Q10,1
u20,Q1,-1
u20,Q2,-1
u20,Q3,-1
u20,Q4,-1
u20,Q5,0
u20,Q6,0
u20,Q7,1
u20,Q8,1
u20,Q9,-1
u20,Q10,0
u21,Q1,-1
u21,Q2,0
u21,Q3,-1
u21,Q4,0
u21,Q5,1
u21,Q6,0
u21,Q7,-1
u21,Q8,1
u21,Q9,0
u21,Q10,-1
u22,Q1,1
u22,Q2,0
u22,Q3,0
u22,Q4,1
u22,Q5,-1
u22,Q6,0
u22,Q7,0
u22,Q8,-1
u22,Q9,-1
u22,Q10,0
u23,Q1,-1
u23,Q2,-1
u23,Q3,0
u23,Q4,-1
u23,Q5,0
u23,Q6,1
u23,Q7,1
u23,Q8,-1
u23,Q9,1
u23,Q10,0
u24,Q1,-1
u24,Q2,1
u24,Q3,-1
u24,Q4,0
u24,Q5,1
u24,Q6,-1
u24,Q7,-1
u24,Q8,-1
u24,Q9,-1
u24,Q10,0
u25,Q1,1
u25,Q2,1
u25,Q3,-1
u25,Q4,-1
u25,Q5,1
u25,Q6,1
u25,Q7,1
u25,Q8,1
u25,Q9,0
u25,Q10,1
u26,Q1,-1
u26,Q2,1
u26,Q3,0
u26,Q4,0
u26,Q5,-1
u26,Q6,1
u26,Q7,-1
u26,Q8,1
u26,Q9,-1
u26,Q10,1
u27,Q1,-1
u27,Q2,-1
u27,Q3,0
u27,Q4,1
u27,Q5,-1
u27,Q6,0
u27,Q7,-1
u27,Q8,1
u27,Q9,-1
u27,Q10,-1
u28,Q1,0
u28,Q2,-1
u28,Q3,1
u28,Q4,-1
u28,Q5,0
u28,Q6,1
u28,Q7,-1
u28,Q8,0
u28,Q9,1
u28,Q10,0
u29,Q1,0
u29,Q2,-1
u29,Q3,-1
u29,Q4,-1
u29,Q5,1
u29,Q6,-1
u29,Q7,1
u29,Q8,-1
u29,Q9,-1
u29,Q10,-1
u30,Q1,0
u30,Q2,1
u30,Q3,0
u30,Q4,0
u30,Q5,-1
u30,Q6,-1
u30,Q7,-1
u30,Q8,0
u30,Q9,1
u30,Q10,1
u31,Q1,1
u31,Q2,0
u31,Q3,1
u31,Q4,-1
u31,Q5,1
u31,Q6,0
u31,Q7,0
u31,Q8,0
u31,Q9,0
u31,Q10,0
u32,Q1,0
u32,Q2,0
u32,Q3,1
u32,Q4,0
u32,Q5,0
u32,Q6,-1
u32,Q7,1
u32,Q8,-1
u32,Q9,1
u32,Q10,-1
u33,Q1,1
u33,Q2,-1
u33,Q3,0
u33,Q4,0
u33,Q5,-1
u33,Q6,-1
u33,Q7,1
u33,Q8,1
u33,Q9,1
u33,Q10,-1
u34,Q1,-1
u34,Q2,-1
u34,Q3,0
u34,Q4,1
u34,Q5,1
u34,Q6,1
u34,Q7,1
u34,Q8,1
u34,Q9,1
u34,Q10,-1
u35,Q1,-1
u35,Q2,0
u35,Q3,0
u35,Q4,0
u35,Q5,0
u35,Q6,-1
u35,Q7,-1
u35,Q8,0
u35,Q9,-1
u35,Q10,1
u36,Q1,0
u36,Q2,0
u36,Q3,1
u36,Q4,0
u36,Q5,0
u36,Q6,0
u36,Q7,0
u36,Q8,0
u36,Q9,0
u36,Q10,0
u37,Q1,0
u37,Q2,-1
u37,Q3,-1
u37,Q4,-1
u37,Q5,0
u37,Q6,1
u37,Q7,1
u37,Q8,-1
u37,Q9,-1
u37,Q10,0
u38,Q1,0
u38,Q2,1
u38,Q3,0
u38,Q4,-1
u38,Q5,1
u38,Q6,0
u38,Q7,0
u38,Q8,1
u38,Q9,1
u38,Q10,-1
u39,Q1,1
u39,Q2,-1
u39,Q3,1
u39,Q4,1
u39,Q5,-1
u39,Q6,0
u39,Q7,-1
u39,Q8,1
u39,Q9,-1
u39,Q10,0
u40,Q1,-1
u40,Q2,1
u40,Q3,0
u40,Q4,1
u40,Q5,1
u40,Q6,1
u40,Q7,0
u40,Q8,0
u40,Q9,-1
u40,Q10,1
u41,Q1,-1
u41,Q2,0
u41,Q3,1
u41,Q4,0
u41,Q5,0
u41,Q6,1
u41,Q7,1
u41,Q8,1
u41,Q9,-1
u41,Q10,-1
u42,Q1,0
u42,Q2,0
u42,Q3,1
u42,Q4,1
u42,Q5,1
u42,Q6,1
u42,Q7,-1
u42,Q8,0
u42,Q9,0
u42,Q10,-1
u43,Q1,0
u43,Q2,-1
u43,Q3,1
u43,Q4,-1
u43,Q5,0
u43,Q6,1
u43,Q7,0
u43,Q8,0
u43,Q9,1
u43,Q10,0
u44,Q1,1
u44,Q2,0
u44,Q3,0
u44,Q4,1
u44,Q5,0
u44,Q6,0
u44,Q7,-1
u44,Q8,1
u44,Q9,0
u44,Q10,-1
u45,Q1,1
u45,Q2,1
u45,Q3,0
u45,Q4,0
u45,Q5,0
u45,Q6,1
u45,Q7,0
u45,Q8,0
u45,Q9,-1
u45,Q10,1
u46,Q1,0
u46,Q2,1
u46,Q3,0
u46,Q4,0
u46,Q5,1
u46,Q6,0
u46,Q7,1
u46,Q8,0
u46,Q9,-1
u46,Q10,-1
u47,Q1,-1
u47,Q2,-1
u47,Q3,0
u47,Q4,1
u47,Q5,1
u47,Q6,1
u47,Q7,1
u47,Q8,0
u47,Q9,0
u47,Q10,0
u48,Q1,0
u48,Q2,-1
u48,Q3,0
u48,Q4,1
u48,Q5,-1
u48,Q6,1
u48,Q7,0
u48,Q8,0
u48,Q9,-1
u48,Q10,-1
u49,Q1,0
u49,Q2,-1
u49,Q3,-1
u49,Q4,0
u49,Q5,0
u49,Q6,0
u49,Q7,0
u49,Q8,0
u49,Q9,-1
u49,Q10,1
u50,Q1,0
u50,Q2,-1
u50,Q3,0
u50,Q4,-1
u50,Q5,1
u50,Q6,1
u50,Q7,1
u50,Q8,-1
u50,Q9,-1
u50,Q10,-1
u51,Q1,1
u51,Q2,1
u51,Q3,0
u51,Q4,1
u51,Q5,0
u51,Q6,-1
u51,Q7,0
u51,Q8,1
u51,Q9,-1
u51,Q10,1
u52,Q1,1
u52,Q2,0
u52,Q3,-1
u52,Q4,1
u52,Q5,-1
u52,Q6,-1
u52,Q7,1
u52,Q8,1
u52,Q9,1
u52,Q10,-1
u53,Q1,-1
u53,Q2,0
u53,Q3,1
u53,Q4,0
u53,Q5,0
u53,Q6,1
u53,Q7,1
u53,Q8,-1
u53,Q9,-1
u53,Q10,0
u54,Q1,-1
u54,Q2,0
u54,Q3,-1
u54,Q4,-1
u54,Q5,0
u54,Q6,1
u54,Q7,1
u54,Q8,1
u54,Q9,0
u54,Q10,0
u55,Q1,1
u55,Q2,-1
u55,Q3,1
u55,Q4,-1
u55,Q5,-1
u55,Q6,0
u55,Q7,1
u55,Q8,1
u55,Q9,1
u55,Q10,-1
u56,Q1,0
u56,Q2,0
u56,Q3,1
u56,Q4,-1
u56,Q5,0
u56,Q6,1
u56,Q7,1
u56,Q8,0
u56,Q9,1
u56,Q10,0
u57,Q1,0
u57,Q2,-1
u57,Q3,0
u57,Q4,1
u57,Q5,0
u57,Q6,1
u57,Q7,1
u57,Q8,1
u57,Q9,1
u57,Q10,1
u58,Q1,1
u58,Q2,0
u58,Q3,1
u58,Q4,1
u58,Q5,-1
u58,Q6,0
u58,Q7,1
u58,Q8,0
u58,Q9,0
u58,Q10,-1
u59,Q1,1
u59,Q2,1
u59,Q3,0
u59,Q4,1
u59,Q5,0
u59,Q6,-1
u59,Q7,-1
u59,Q8,0
u59,Q9,-1
u59,Q10,-1
u60,Q1,1
u60,Q2,-1
u60,Q3,-1
u60,Q4,0
u60,Q5,1
u60,Q6,-1
u60,Q7,-1
u60,Q8,-1
u60,Q9,0
u60,Q10,1
u61,Q1,-1
u61,Q2,-1
u61,Q3,1
u61,Q4,0
u61,Q5,-1
u61,Q6,-1
u61,Q7,-1
u61,Q8,1
u61,Q9,-1
u61,Q10,1
u62,Q1,-1
u62,Q2,-1
u62,Q3,0
u62,Q4,0
u62,Q5,-1
u62,Q6,0
u62,Q7,-1
u62,Q8,-1
u62,Q9,1
u62,Q10,-1
u63,Q1,-1
u63,Q2,-1
u63,Q3,0
u63,Q4,0
u63,Q5,1
u63,Q6,-1
u63,Q7,1
u63,Q8,0
u63,Q9,1
u63,Q10,-1
u64,Q1,-1
u64,Q2,-1
u64,Q3,0
u64,Q4,-1
u64,Q5,1
u64,Q6,-1
u64,Q7,-1
u64,Q8,1
u64,Q9,1
u64,Q10,0
u65,Q1,0
u65,Q2,1
u65,Q3,1
u65,Q4,-1
u65,Q5,-1
u65,Q6,0
u65,Q7,0
u65,Q8,-1
u65,Q9,0
u65,Q10,1
u66,Q1,1
u66,Q2,1
u66,Q3,0
u66,Q4,1
u66,Q5,0
u66,Q6,0
u66,Q7,0
u66,Q8,0
u66,Q9,1
u66,Q10,0
u67,Q1,0
u67,Q2,-1
u67,Q3,-1
u67,Q4,1
u67,Q5,-1
u67,Q6,1
u67,Q7,-1
u67,Q8,1
u67,Q9,1
u67,Q10,1
u68,Q1,1
u68,Q2,-1
u68,Q3,1
u68,Q4,0
u68,Q5,0
u68,Q6,-1
u68,Q7,-1
u68,Q8,-1
u68,Q9,-1
u68,Q10,1
u69,Q1,0
u69,Q2,1
u69,Q3,-1
u69,Q4,-1
u69,Q5,-1
u69,Q6,-1
u69,Q7,1
u69,Q8,0
u69,Q9,-1
u69,Q10,-1
u70,Q1,-1
u70,Q2,-1
u70,Q3,-1
u70,Q4,1
u70,Q5,1
u70,Q6,0
u70,Q7,-1
u70,Q8,-1
u70,Q9,0
u70,Q10,-1
u71,Q1,-1
u71,Q2,0
u71,Q3,-1
u71,Q4,1
u71,Q5,1
u71,Q6,-1
u71,Q7,0
u71,Q8,1
u71,Q9,-1
u71,Q10,1
u72,Q1,1
u72,Q2,0
u72,Q3,1
u72,Q4,1
u72,Q5,1
u72,Q6,-1
u72,Q7,1
u72,Q8,1
u72,Q9,0
u72,Q10,-1
u73,Q1,-1
u73,Q2,-1
u73,Q3,0
u73,Q4,1
u73,Q5,1
u73,Q6,0
u73,Q7,0
u73,Q8,-1
u73,Q9,1
u73,Q10,0
u74,Q1,0
u74,Q2,-1
u74,Q3,0
u74,Q4,0
u74,Q5,1
u74,Q6,0
u74,Q7,-1
u74,Q8,1
u74,Q9,-1
u74,Q10,-1
u75,Q1,-1
u75,Q2,1
u75,Q3,0
u75,Q4,-1
u75,Q5,-1
u75,Q6,1
u75,Q7,0
u75,Q8,-1
u75,Q9,0
u75,Q10,0
u76,Q1,-1
u76,Q2,-1
u76,Q3,1
u76,Q4,-1
u76,Q5,-1
u76,Q6,-1
u76,Q7,1
u76,Q8,-1
u76,Q9,1
u76,Q10,0
u77,Q1,-1
u77,Q2,0
u77,Q3,-1
u77,Q4,0
u77,Q5,1
u77,Q6,-1
u77,Q7,-1
u77,Q8,-1
u77,Q9,0
u77,Q10,1
u78,Q1,-1
u78,Q2,1
u78,Q3,-1
u78,Q4,1
u78,Q5,1
u78,Q6,-1
u78,Q7,0
u78,Q8,0
u78,Q9,0
u78,Q10,1
u79,Q1,-1
u79,Q2,1
u79,Q3,0
u79,Q4,0
u79,Q5,1
u79,Q6,-1
u79,Q7,-1
u79,Q8,-1
u79,Q9,0
u79,Q10,-1
u80,Q1,1
u80,Q2,1
u80,Q3,0
u80,Q4,0
u80,Q5,1
u80,Q6,1
u80,Q7,-1
u80,Q8,1
u80,Q9,0
u80,Q10,1
u81,Q1,-1
u81,Q2,-1
u81,Q3,1
u81,Q4,0
u81,Q5,0
u81,Q6,0
u81,Q7,0
u81,Q8,-1
u81,Q9,0
u81,Q10,-1
u82,Q1,0
u82,Q2,-1
u82,Q3,1
u82,Q4,1
u82,Q5,1
u82,Q6,0
u82,Q7,0
u82,Q8,-1
u82,Q9,1
u82,Q10,1
u83,Q1,-1
u83,Q2,1
u83,Q3,1
u83,Q4,0
u83,Q5,0
u83,Q6,-1
u83,Q7,1
u83,Q8,-1
u83,Q9,1
u83,Q10,0
u84,Q1,1
u84,Q2,0
u84,Q3,0
u84,Q4,0
u84,Q5,1
u84,Q6,1
u84,Q7,1
u84,Q8,1
u84,Q9,-1
u84,Q10,-1
u85,Q1,1
u85,Q2,0
u85,Q3,1
u85,Q4,-1
u85,Q5,0
u85,Q6,1
u85,Q7,-1
u85,Q8,-1
u85,Q9,-1
u85,Q10,1
u86,Q1,0
u86,Q2,-1
u86,Q3,1
u86,Q4,-1
u86,Q5,1
u86,Q6,1
u86,Q7,-1
u86,Q8,1
u86,Q9,1
u86,Q10,0
u87,Q1,0
u87,Q2,1
u87,Q3,0
u87,Q4,-1
u87,Q5,1
u87,Q6,1
u87,Q7,-1
u87,Q8,1
u87,Q9,0
u87,Q10,0
u88,Q1,-1
u88,Q2,1
u88,Q3,-1
u88,Q4,1
u88,Q5,1
u88,Q6,-1
u88,Q7,1
u88,Q8,1
u88,Q9,0
u88,Q10,0
u89,Q1,0
u89,Q2,0
u89,Q3,-1
u89,Q4,0
u89,Q5,1
u89,Q6,1
u89,Q7,0
u89,Q8,1
u89,Q9,-1
u89,Q10,1
u90,Q1,0
u90,Q2,-1
u90,Q3,1
u90,Q4,-1
u90,Q5,1
u90,Q6,1
u90,Q7,1
u90,Q8,1
u90,Q9,-1
u90,Q10,-1
u91,Q1,-1
u91,Q2,-1
u91,Q3,1
u91,Q4,1
u91,Q5,0
u91,Q6,1
u91,Q7,0
u91,Q8,-1
u91,Q9,0
u91,Q10,0
u92,Q1,1
u92,Q2,0
u92,Q3,1
u92,Q4,0
u92,Q5,-1
u92,Q6,0
u92,Q7,-1
u92,Q8,1
u92,Q9,1
u92,Q10,0
u93,Q1,1
u93,Q2,1
u93,Q3,-1
u93,Q4,1
u93,Q5,1
u93,Q6,0
u93,Q7,-1
u93,Q8,0
u93,Q9,0
u93,Q10,-1
u94,Q1,-1
u94,Q2,0
u94,Q3,0
u94,Q4,-1
u94,Q5,-1
u94,Q6,-1
u94,Q7,-1
u94,Q8,0
u94,Q9,1
u94,Q10,1
u95,Q1,-1
u95,Q2,0
u95,Q3,0
u95,Q4,-1
u95,Q5,1
u95,Q6,1
u95,Q7,1
u95,Q8,1
u95,Q9,0
u95,Q10,0
u96,Q1,1
u96,Q2,0
u96,Q3,0
u96,Q4,-1
u96,Q5,-1
u96,Q6,-1
u96,Q7,1
u96,Q8,1
u96,Q9,-1
u96,Q10,-1
u97,Q1,0
u97,Q2,0
u97,Q3,0
u97,Q4,0
u97,Q5,1
u97,Q6,-1
u97,Q7,-1
u97,Q8,1
u97,Q9,0
u97,Q10,1
u98,Q1,-1
u98,Q2,1
u98,Q3,1
u98,Q4,0
u98,Q5,-1
u98,Q6,-1
u98,Q7,-1
u98,Q8,-1
u98,Q9,1
u98,Q10,-1
u99,Q1,-1
u99,Q2,1
u99,Q3,1
u99,Q4,1
u99,Q5,0
u99,Q6,0
u99,Q7,-1
u99,Q8,-1
u99,Q9,-1
u99,Q10,-1
u100,Q1,-1
u100,Q2,0
u100,Q3,-1
u100,Q4,1
u100,Q5,0
u100,Q6,-1
u100,Q7,-1
u100,Q8,-1
u100,Q9,0
u100,Q10,0
u101,Q1,0
u101,Q2,-1
u101,Q3,-1
u101,Q4,0
u101,Q5,-1
u101,Q6,1
u101,Q7,0
u101,Q8,0
u101,Q9,-1
u101,Q10,0
u102,Q1,1
u102,Q2,0
u102,Q3,1
u102,Q4,1
u102,Q5,0
u102,Q6,1
u102,Q7,-1
u102,Q8,-1
u102,Q9,-1
u102,Q10,0
u103,Q1,0
u103,Q2,0
u103,Q3,-1
u103,Q4,1
u103,Q5,0
u103,Q6,0
u103,Q7,1
u103,Q8,0
u103,Q9,-1
u103,Q10,1
u104,Q1,-1
u104,Q2,0
u104,Q3,-1
u104,Q4,0
u104,Q5,0
u104,Q6,0
u104,Q7,1
u104,Q8,-1
u104,Q9,-1
u104,Q10,0
u105,Q1,0
u105,Q2,1
u105,Q3,-1
u105,Q4,0
u105,Q5,-1
u105,Q6,1
u105,Q7,1
u105,Q8,0
u105,Q9,0
u105,Q10,0
u106,Q1,-1
u106,Q2,1
u106,Q3,0
u106,Q4,1
u106,Q5,0
u106,Q6,1
u106,Q7,-1
u106,Q8,1
u106,Q9,1
u106,Q10,-1
u107,Q1,0
u107,Q2,0
u107,Q3,0
u107,Q4,0
u107,Q5,-1
u107,Q6,1
u107,Q7,-1
u107,Q8,-1
u107,Q9,0
u107,Q10,1
u108,Q1,-1
u108,Q2,-1
u108,Q3,0
u108,Q4,0
u108,Q5,-1
u108,Q6,0
u108,Q7,-1
u108,Q8,0
u108,Q9,0
u108,Q10,0
u109,Q1,0
u109,Q2,-1
u109,Q3,1
u109,Q4,0
u109,Q5,1
u109,Q6,-1
u109,Q7,-1
u109,Q8,1
u109,Q9,0
u109,Q10,0
u110,Q1,1
u110,Q2,-1
u110,Q3,1
u110,Q4,1
u110,Q5,1
u110,Q6,1
u110,Q7,-1
u110,Q8,-1
u110,Q9,0
u110,Q10,-1
u111,Q1,-1
u111,Q2,0
u111,Q3,1
u111,Q4,1
u111,Q5,0
u111,Q6,1
u111,Q7,0
u111,Q8,-1
u111,Q9,0
u111,Q10,0
u112,Q1,0
u112,Q2,1
u112,Q3,0
u112,Q4,0
u112,Q5,0
u112,Q6,0
u112,Q7,-1
u112,Q8,0
u112,Q9,1
u112,Q10,0
u113,Q1,1
u113,Q2,0
u113,Q3,0
u113,Q4,0
u113,Q5,0
u113,Q6,1
u113,Q7,0
u113,Q8,1
u113,Q9,-1
u113,Q10,-1
u114,Q1,0
u114,Q2,1
u114,Q3,0
u114,Q4,-1
u114,Q5,-1
u114,Q6,-1
u114,Q7,-1
u114,Q8,1
u114,Q9,0
u114,Q10,0
u115,Q1,-1
u115,Q2,0
u115,Q3,1
u115,Q4,1
u115,Q5,1
u115,Q6,1
u115,Q7,-1
u115,Q8,-1
u115,Q9,1
u115,Q10,0
u116,Q1,1
u116,Q2,1
u116,Q3,1
u116,Q4,1
u116,Q5,0
u116,Q6,0
u116,Q7,1
u116,Q8,1
u116,Q9,0
u116,Q10,1
u117,Q1,1
u117,Q2,0
u117,Q3,1
u117,Q4,-1
u117,Q5,1
u117,Q6,0
u117,Q7,0
u117,Q8,0
u117,Q9,-1
u117,Q10,-1
u118,Q1,1
u118,Q2,0
u118,Q3,-1
u118,Q4,0
u118,Q5,-1
u118,Q6,0
u118,Q7,0
u118,Q8,1
u118,Q9,0
u118,Q10,-1
u119,Q1,0
u119,Q2,-1
u119,Q3,0
u119,Q4,-1
u119,Q5,0
u119,Q6,0
u119,Q7,0
u119,Q8,0
u119,Q9,0
u119,Q10,1
u120,Q1,1
u120,Q2,1
u120,Q3,1
u120,Q4,1
u120,Q5,-1
u120,Q6,0
u120,Q7,1
u120,Q8,0
u120,Q9,1
